domain_id,domain_name,domain_description,domain_owner,entity_id,entity_name,entity_description,entity_steward,le_id,le_name,le_description,le_aliases,business_rules,pe_id,pe_system,pe_database,pe_schema,pe_table,pe_column,pe_data_type,pe_nullable,pe_pk,pe_null_pct
d1,Customer,All customer-related data assets,Sarah Chen,e1,Profile,Core customer identity attributes,James Kim,l1,Customer ID,Unique identifier for a customer,Cust ID|Client ID|Customer Number,Must be globally unique|Immutable once assigned,p1,CRM,crm_db,dbo,customers,cust_id,VARCHAR(20),False,True,0.0
d1,Customer,All customer-related data assets,Sarah Chen,e1,Profile,Core customer identity attributes,James Kim,l1,Customer ID,Unique identifier for a customer,Cust ID|Client ID|Customer Number,Must be globally unique|Immutable once assigned,p2,ERP,erp_db,master,customer_master,cust_num,CHAR(10),False,True,0.0
d1,Customer,All customer-related data assets,Sarah Chen,e1,Profile,Core customer identity attributes,James Kim,l1,Customer ID,Unique identifier for a customer,Cust ID|Client ID|Customer Number,Must be globally unique|Immutable once assigned,p3,DWH,dw_db,analytics,dim_customer,customer_key,INTEGER,False,True,0.0
d1,Customer,All customer-related data assets,Sarah Chen,e1,Profile,Core customer identity attributes,James Kim,l2,First Name,Customer's given name,Given Name|Forename,Max 50 characters|No numeric characters,p4,CRM,crm_db,dbo,customers,first_nm,VARCHAR(50),True,False,2.1
d1,Customer,All customer-related data assets,Sarah Chen,e1,Profile,Core customer identity attributes,James Kim,l2,First Name,Customer's given name,Given Name|Forename,Max 50 characters|No numeric characters,p5,DWH,dw_db,analytics,dim_customer,first_name,VARCHAR(50),True,False,1.8
d1,Customer,All customer-related data assets,Sarah Chen,e1,Profile,Core customer identity attributes,James Kim,l3,Date of Birth,Customer's date of birth,DOB|Birthdate|Birthday,Must be a valid past date|Used for age verification,p6,CRM,crm_db,dbo,customers,dob,DATE,True,False,8.3
d1,Customer,All customer-related data assets,Sarah Chen,e1,Profile,Core customer identity attributes,James Kim,l3,Date of Birth,Customer's date of birth,DOB|Birthdate|Birthday,Must be a valid past date|Used for age verification,p7,DWH,dw_db,analytics,dim_customer,birth_date,DATE,True,False,7.9
d1,Customer,All customer-related data assets,Sarah Chen,e1,Profile,Core customer identity attributes,James Kim,l4,Membership Status,Current membership tier,Member Status|Account Status,"Values: ACTIVE, INACTIVE, SUSPENDED, PENDING",p8,CRM,crm_db,dbo,customers,status_cd,CHAR(2),True,False,0.4
d1,Customer,All customer-related data assets,Sarah Chen,e1,Profile,Core customer identity attributes,James Kim,l4,Membership Status,Current membership tier,Member Status|Account Status,"Values: ACTIVE, INACTIVE, SUSPENDED, PENDING",p9,ERP,erp_db,master,customer_master,status,VARCHAR(10),True,False,0.7
d1,Customer,All customer-related data assets,Sarah Chen,e2,Contact,Customer contact information,Ana Lopez,l5,Email Address,Primary email address,Email|E-mail,Must conform to RFC 5322|Unique per customer,p10,CRM,crm_db,dbo,customer_contact,email,VARCHAR(255),True,False,12.5
d1,Customer,All customer-related data assets,Sarah Chen,e2,Contact,Customer contact information,Ana Lopez,l5,Email Address,Primary email address,Email|E-mail,Must conform to RFC 5322|Unique per customer,p11,MDM,mdm_db,hub,contact_hub,email_addr,VARCHAR(255),True,False,11.2
d1,Customer,All customer-related data assets,Sarah Chen,e2,Contact,Customer contact information,Ana Lopez,l6,Phone Number,Primary contact phone,Phone|Telephone|Contact Number,E.164 format required|Includes country code,p12,CRM,crm_db,dbo,customer_contact,phone_num,VARCHAR(20),True,False,31.4
d1,Customer,All customer-related data assets,Sarah Chen,e2,Contact,Customer contact information,Ana Lopez,l6,Phone Number,Primary contact phone,Phone|Telephone|Contact Number,E.164 format required|Includes country code,p13,MDM,mdm_db,hub,contact_hub,phone,VARCHAR(20),True,False,28.9
d2,Finance,Financial data assets and transactions,Marcus Rivera,e3,Transaction,Monetary transaction records,Wei Zhang,l7,Transaction ID,Unique transaction identifier,Txn ID|Transaction Reference,"UUID format|System-generated, never reused",p14,ERP,erp_db,finance,transactions,txn_id,VARCHAR(36),False,True,0.0
d2,Finance,Financial data assets and transactions,Marcus Rivera,e3,Transaction,Monetary transaction records,Wei Zhang,l7,Transaction ID,Unique transaction identifier,Txn ID|Transaction Reference,"UUID format|System-generated, never reused",p15,DWH,dw_db,analytics,fact_transaction,transaction_key,BIGINT,False,True,0.0
d2,Finance,Financial data assets and transactions,Marcus Rivera,e3,Transaction,Monetary transaction records,Wei Zhang,l8,Amount,Transaction monetary value,Value|Transaction Amount,"Precision: 18,2|Must be positive for credits",p16,ERP,erp_db,finance,transactions,txn_amt,"DECIMAL(18,2)",True,False,0.2
d2,Finance,Financial data assets and transactions,Marcus Rivera,e3,Transaction,Monetary transaction records,Wei Zhang,l8,Amount,Transaction monetary value,Value|Transaction Amount,"Precision: 18,2|Must be positive for credits",p17,DWH,dw_db,analytics,fact_transaction,amount,"NUMERIC(18,2)",True,False,0.1
d2,Finance,Financial data assets and transactions,Marcus Rivera,e3,Transaction,Monetary transaction records,Wei Zhang,l9,Transaction Date,Date the transaction occurred,Txn Date|Value Date,Cannot be a future date,p18,ERP,erp_db,finance,transactions,txn_dt,DATE,True,False,0.0
d2,Finance,Financial data assets and transactions,Marcus Rivera,e3,Transaction,Monetary transaction records,Wei Zhang,l9,Transaction Date,Date the transaction occurred,Txn Date|Value Date,Cannot be a future date,p19,DWH,dw_db,analytics,fact_transaction,transaction_date,DATE,True,False,0.0
d2,Finance,Financial data assets and transactions,Marcus Rivera,e4,Account,Customer financial accounts,Wei Zhang,l10,Account Number,Unique account identifier,Account No|Acct Number,"Alphanumeric, 12 characters|Luhn-validated",p20,ERP,erp_db,finance,accounts,acct_num,CHAR(12),False,True,0.0
d2,Finance,Financial data assets and transactions,Marcus Rivera,e4,Account,Customer financial accounts,Wei Zhang,l10,Account Number,Unique account identifier,Account No|Acct Number,"Alphanumeric, 12 characters|Luhn-validated",p21,CRM,crm_db,dbo,accounts,account_id,VARCHAR(12),False,True,0.0
d2,Finance,Financial data assets and transactions,Marcus Rivera,e4,Account,Customer financial accounts,Wei Zhang,l11,Account Type,Category of account,Account Category|Acct Type,"Values: CHECKING, SAVINGS, CREDIT, INVESTMENT",p22,ERP,erp_db,finance,accounts,acct_type_cd,CHAR(3),True,False,1.3
d2,Finance,Financial data assets and transactions,Marcus Rivera,e4,Account,Customer financial accounts,Wei Zhang,l11,Account Type,Category of account,Account Category|Acct Type,"Values: CHECKING, SAVINGS, CREDIT, INVESTMENT",p23,DWH,dw_db,analytics,dim_account,account_type,VARCHAR(20),True,False,0.9
d3,Product,Product catalog and inventory data,Priya Patel,e5,Catalog,Product definition and classification,Tom Bradley,l12,Product ID,Unique product identifier,Item ID|Product Code,GTIN format|Issued by product steward,p24,ERP,erp_db,product,products,prod_id,VARCHAR(14),False,True,0.0
d3,Product,Product catalog and inventory data,Priya Patel,e5,Catalog,Product definition and classification,Tom Bradley,l12,Product ID,Unique product identifier,Item ID|Product Code,GTIN format|Issued by product steward,p25,DWH,dw_db,analytics,dim_product,product_key,INTEGER,False,True,0.0
d3,Product,Product catalog and inventory data,Priya Patel,e5,Catalog,Product definition and classification,Tom Bradley,l12,Product ID,Unique product identifier,Item ID|Product Code,GTIN format|Issued by product steward,p26,MDM,mdm_db,hub,product_hub,product_id,VARCHAR(14),False,True,0.0
d3,Product,Product catalog and inventory data,Priya Patel,e5,Catalog,Product definition and classification,Tom Bradley,l13,Product Name,Commercial name of the product,Item Name|Product Title,Max 200 characters|Unique within category,p27,ERP,erp_db,product,products,prod_nm,VARCHAR(200),True,False,0.0
d3,Product,Product catalog and inventory data,Priya Patel,e5,Catalog,Product definition and classification,Tom Bradley,l13,Product Name,Commercial name of the product,Item Name|Product Title,Max 200 characters|Unique within category,p28,DWH,dw_db,analytics,dim_product,product_name,VARCHAR(200),True,False,0.0
d3,Product,Product catalog and inventory data,Priya Patel,e5,Catalog,Product definition and classification,Tom Bradley,l14,Category,Product classification category,Product Category|Classification,Must match approved category taxonomy,p29,ERP,erp_db,product,products,cat_cd,VARCHAR(50),True,False,4.7
d3,Product,Product catalog and inventory data,Priya Patel,e5,Catalog,Product definition and classification,Tom Bradley,l14,Category,Product classification category,Product Category|Classification,Must match approved category taxonomy,p30,DWH,dw_db,analytics,dim_product,category_name,VARCHAR(100),True,False,3.9
d3,Product,Product catalog and inventory data,Priya Patel,e6,Inventory,Stock levels and warehouse data,Tom Bradley,l15,SKU,Stock keeping unit identifier,Stock Code|Item Code,"Alphanumeric, up to 20 characters|Unique per warehouse location",p31,ERP,erp_db,inventory,stock,sku_cd,VARCHAR(20),False,True,0.0
d3,Product,Product catalog and inventory data,Priya Patel,e6,Inventory,Stock levels and warehouse data,Tom Bradley,l15,SKU,Stock keeping unit identifier,Stock Code|Item Code,"Alphanumeric, up to 20 characters|Unique per warehouse location",p32,DWH,dw_db,analytics,fact_inventory,sku,VARCHAR(20),True,False,0.0
d3,Product,Product catalog and inventory data,Priya Patel,e6,Inventory,Stock levels and warehouse data,Tom Bradley,l16,Stock Level,Current quantity on hand,Qty on Hand|Inventory Count,Cannot be negative|Triggers reorder at configured threshold,p33,ERP,erp_db,inventory,stock,qty_on_hand,INTEGER,True,False,0.0
d3,Product,Product catalog and inventory data,Priya Patel,e6,Inventory,Stock levels and warehouse data,Tom Bradley,l16,Stock Level,Current quantity on hand,Qty on Hand|Inventory Count,Cannot be negative|Triggers reorder at configured threshold,p34,DWH,dw_db,analytics,fact_inventory,quantity_on_hand,INTEGER,True,False,0.0
